sector;province;2018-01;2018-12;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2019-06;2018-08;2018-09;2018-10;2018-11;2019-01;2019-02;2019-03;2019-04;2019-05;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2021-05;2020-06;2020-07;2021-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2022-04;2021-06;2022-06;2022-05;2021-08;2022-08;2022-07;2021-09;2021-10;2022-10;2021-11;2022-11;2021-12;2022-12;2022-01;2023-01;2022-02;2023-02;2022-03;2023-03;2023-04;2023-05
 Yaş Meyve ve Sebze  ;AYDIN;1547.85221;2176.57528;444.83464;927.52829;1022.44751;1015.55151;1357.29792;471.84312;1485.92432;203.54916;147.00132;5070.54865;6786.8118;401.25894;367.76355;178.0975;1534.57294;838.45368;730.81698;286.41511;281.3123;2190.18696;7542.13028;3167.51954;517.63835;86.81919;93.71543;1722.23814;2118.00178;2543.43565;2363.22581;1504.8411;693.07507;458.87309;371.40729;1146.41399;2034.83036;5458.61203;1048.64459;300.5824;235.53357;2052.4939;2118.83089;1320.23321;868.45147;1351.6899;565.67221;349.09699;552.26117;318.30247;2034.83036;1781.81408;6138.66549;6753.74471;4729.35575;6978.16325;1631.49639;2133.80672;527.04213;2747.48892;816.64145;2044.99323;2555.15896;2437.11144
 Zeytin ve Zeytinyağı ;AYDIN;2303.07394;2119.72038;5077.39555;2421.63804;1715.60556;1898.22459;1174.3639;1565.94773;1971.26007;1067.36446;1973.93932;2451.65395;2466.47614;1865.28999;2775.18407;2927.45999;2461.71597;2326.79026;1958.67868;1659.17373;2519.78874;2358.13563;3173.91752;3287.86452;2531.81042;2790.28251;2921.67292;2069.78457;2017.61994;3121.62395;2211.64502;1854.50341;1428.33943;1443.44785;2718.16477;2649.94827;2437.50888;2254.10269;1467.0103;2013.90112;2162.42902;4048.2518;4129.21926;1824.0892;2662.3133;3087.42856;2363.21295;2592.79236;2501.65462;3790.56671;2437.50888;3181.69077;2329.75027;7020.53075;2677.81929;13359.61653;3958.52783;9556.11654;3575.66663;6454.82104;3943.9352;6478.59217;4482.04501;5340.71149
TOPLAM;AYDIN;47485.70821;47329.27234;52923.99133;55083.24762;49153.92678;55133.75149;48690.83323;47136.2533;35017.35461;51261.19559;55587.721;74106.40455;78346.69604;42149.51019;42542.2974;47938.99278;51242.4153;67904.92343;51333.85498;46151.62065;63891.86924;78541.86515;71431.93637;56677.20388;52866.2576;43005.54273;55732.23748;42105.35856;37017.90143;65999.24066;47288.24882;54807.49332;54901.48794;44902.37961;66125.26382;81928.05121;104330.4535;62747.17586;53107.54281;55003.16232;62335.77737;67745.13359;92692.98822;65591.77124;96127.75373;72741.82265;71296.14485;75131.46619;64519.10057;79986.41534;103489.2862;101974.5886;90351.28353;91460.81933;87889.8745;97267.10129;66895.4853;69388.40266;72837.53773;85333.45782;87887.00594;95763.83321;65675.92041;84152.09791
 Çelik;BALIKESIR;2083.11971;1841.77086;2029.9723;2188.07539;2043.05949;1978.32957;1723.00933;1627.78874;1325.96467;1352.26531;1469.29278;2580.99271;2373.12289;1539.64513;1567.80777;2113.90796;1735.82801;2434.85235;1950.81813;1474.63415;2319.27632;2244.63322;2651.97853;1549.66879;1697.77777;1776.98436;1822.3166;2183.74953;1973.29558;2228.54674;2050.52096;2655.47323;2757.80455;1750.42321;2468.73623;2077.20256;3533.86128;2425.98751;2526.50836;2357.40215;3024.52156;3418.49722;6151.31011;3866.69703;4643.70296;4403.13669;3031.16123;4438.04758;3245.65073;3748.23036;3533.86128;2335.93458;3347.37594;2589.87538;3861.73868;1533.00764;2866.62661;1794.30436;4360.49773;1891.91424;5601.47043;2576.00199;1871.24321;2249.45811
 Çimento Cam Seramik ve Toprak Ürünleri;BALIKESIR;151.96894;360.84995;290.40425;281.76458;382.80866;399.80647;192.76712;195.68709;136.98894;202.61577;126.74566;320.10929;530.60635;65.94085;348.21923;623.66041;722.02056;677.16977;298.68344;149.11393;406.62143;731.09036;715.67965;755.89456;436.2606;966.11986;974.81271;171.8121;336.6657;417.02276;337.22937;563.40139;287.16909;144.72669;448.99905;548.41927;1433.74383;963.86693;566.89141;504.56359;1041.84855;714.69899;1355.60241;799.41619;947.41299;862.94669;351.21122;641.1893;304.02267;595.45246;1433.74383;686.40346;1089.84949;441.72058;1018.77453;1356.61834;1202.39621;441.17261;972.25314;473.71754;2096.79588;486.53145;483.57516;206.59126
 Demir ve Demir Dışı Metaller ;BALIKESIR;2835.2096;2415.14751;2434.6464;2585.34464;2435.88553;2301.14243;2075.23865;2644.2221;1558.27526;1887.26028;2276.36493;2720.83655;2799.74066;2358.2414;2295.27337;2460.51023;2872.98373;2776.32636;2365.32742;1820.66251;2101.78011;2709.38922;2371.24531;2624.15577;2006.9845;2364.40869;2552.5641;1956.48644;1438.06825;1760.39094;1785.69205;2166.67662;1868.1851;1917.61196;2223.72069;2624.35394;2645.96587;3228.21808;2579.40099;2848.87646;3524.8673;2478.61337;3352.87541;2902.85516;3140.50938;1892.86134;2573.70959;2561.30434;1994.38932;2860.31699;2645.96587;2492.58139;3020.16748;2390.67056;3151.71662;2823.36918;3033.39628;3061.26958;3020.06619;2830.3465;4610.92772;3906.97983;2193.09288;2735.67688
 Deri ve Deri Mamulleri ;BALIKESIR;195.48004;310.68439;234.34864;299.02116;303.56963;331.67199;257.94508;83.1805;190.03763;106.93549;271.77996;516.93583;268.68994;276.99189;532.11507;650.36952;466.29757;535.61606;71.33683;118.14326;313.82361;157.10278;51.41526;211.18248;112.67899;376.91077;244.64106;251.84267;139.24759;169.02577;159.43597;91.31923;112.56856;35.369;110.4559;111.15327;560.56699;117.47296;73.80221;284.86893;527.09322;229.50869;1102.43677;454.73244;494.23514;269.49018;115.66842;468.79992;205.60118;799.99095;560.56699;276.1683;574.07951;202.63278;816.46364;475.82337;370.03165;329.23078;458.86937;419.22268;996.95773;776.81011;665.29178;576.82019
 Diğer Sanayi Ürünleri;BALIKESIR;0;13.38717;0;9.14449;0.234;6.17026;0.25797;2.81281;5.89413;31.0787;0;9.40294;10.33328;0;5.40556;105.45238;3.9077;25.41072;6.8034;7.44652;3.7416;0;21.93569;47.52783;1.48332;16.14102;6.78012;0;0;0;5.35676;0.71736;0.27;0.38535;2.43058;6.07821;1.94914;3.43808;0.3792;0.79141;0;18.92916;37.38831;0.14838;12.18175;0.66524;0.37522;0;0;4.21887;1.94914;3.20444;0;1.2936;0;24.17167;40.08477;0;31.09164;4.71699;30.25846;0;26.4871;0.22089
 Halı ;BALIKESIR;1.18012;15.47379;5.0244;2.52841;0;6.05024;10.875;8.48331;0.35;4.03675;2.8355;11.17293;43.31594;0;13.75178;35.1273;3.30038;0;13.25438;0.83277;15.42295;57.81409;72.99492;118.78161;23.85025;140.37953;57.219;0;6.10808;0.0642;19.9345;53.85747;5.91067;13.38154;71.60425;19.89633;100.2404;29.07868;12.57195;29.4065;3.12986;9.83596;17.60536;44.28627;46.67272;68.49109;11.50716;74.12004;27.44254;54.39496;100.2404;19.79907;178.51021;38.51825;27.67125;40.40905;30.67901;10.21983;37.54062;16.40284;33.07258;0;0;0
 Hazırgiyim ve Konfeksiyon ;BALIKESIR;5760.20042;5041.52994;5277.33916;5897.55259;4792.71903;5176.69291;4598.68275;4174.9615;3368.00586;4553.0133;4684.71657;5746.24076;5763.85171;4670.02179;3508.81536;4723.64427;4363.27407;4630.65259;4268.3525;3534.40468;3093.79854;4337.01035;4448.89054;3495.84135;4154.25323;4059.96539;4364.4772;5367.47847;5486.17357;6209.10886;6001.40542;5555.06009;5773.1019;5236.74999;5832.72312;5269.83442;5050.57527;5852.04313;5687.48809;5415.71153;6486.05323;6744.86317;6996.18028;7475.99927;6676.02581;5911.74457;5358.11086;6208.18641;5560.84882;5772.43481;5050.57527;5258.99984;6935.17871;5386.53542;8134.69492;5366.19898;5938.85736;4076.0675;6580.59393;4527.31552;7509.14976;4844.6739;3255.87561;4014.12258
 Hububat. Bakliyat. Yağlı Tohumlar ve Mamulleri ;BALIKESIR;307.07262;1039.91498;477.03959;401.32319;521.74364;451.02587;576.55734;515.23736;390.23477;828.93082;852.0563;1011.74507;1054.8314;1025.66598;882.82393;1166.9074;783.09211;1391.8765;644.99965;721.268;881.71514;910.93003;1099.65997;948.57223;755.58476;725.36757;992.07825;1154.64534;532.94134;815.0258;925.95528;1486.2663;1005.7601;1080.09204;1385.57209;1414.42013;1592.56587;1381.7585;1107.1407;988.20938;1211.25216;1009.48609;1246.26416;1112.2718;1711.15682;868.12495;1792.14859;1714.26022;1119.11109;1200.18892;1592.56587;2775.92548;1481.40089;3474.88885;1237.49907;2519.3337;1330.14646;1993.00873;1453.32838;2213.19684;1897.86613;1686.23448;1261.39697;1916.96818
 İklimlendirme Sanayii;BALIKESIR;132.46008;404.28044;88.61833;147.13053;129.78553;134.70937;213.58142;312.05793;291.58884;379.26311;366.73548;193.83866;627.68436;60.76973;82.21148;214.21977;46.82951;503.8701;428.5095;244.31252;149.74847;307.56123;605.8847;122.67637;316.6151;312.7061;327.07487;237.63601;557.48217;406.08943;1054.44966;187.51523;487.93058;364.68882;1090.20896;515.65091;737.78569;673.34099;430.78851;268.62678;273.57653;410.69513;1056.0481;368.77684;855.81086;812.48239;279.35379;875.69995;788.02469;926.56026;698.14911;744.59994;603.57355;818.36154;514.5982;1049.61498;560.35275;550.14224;1016.65873;455.6006;907.9755;847.50357;362.97961;1109.50862
 Kimyevi Maddeler ve Mamulleri  ;BALIKESIR;2451.28802;2970.03222;2181.8618;3512.76621;3212.97919;3226.18308;2659.9797;4252.80189;1382.69916;2128.93193;2590.16468;2634.18718;4219.07958;1736.06225;1928.16036;3467.79536;2844.77239;2422.5195;2931.10302;1738.56765;2764.39319;3382.6715;3929.52604;3546.14967;2941.95218;3579.0112;2895.10007;1516.22308;2166.19872;4201.94994;3339.43596;3605.22861;3029.971;3236.83689;3936.01653;4717.89203;4310.40862;5642.84053;2510.26193;4592.84111;3734.14591;4494.21237;5771.92859;4800.83926;8861.91071;3600.01997;4381.75674;7951.74086;5419.77906;4693.32729;4310.40862;4271.06201;4326.49028;4165.137;5075.40759;4552.40147;4635.01762;2495.28802;5991.07117;4760.58686;4144.91117;4647.57479;3715.80598;4276.32199
 Kuru Meyve ve Mamulleri  ;BALIKESIR;7.15498;0.64906;5.53052;4.37764;2.24203;1.37695;6.631;0.50424;0;0;0;6.16367;0.38448;1.46552;0.5832;4.7111;3.05739;3.34024;0;3.87701;0.37506;1.13969;5.79605;13.87039;0;0;7.32128;5.91326;8.86169;0.20542;0.49804;4.41516;1.719;0.468;3.21518;12.65263;6.27582;1.64209;1.7304;0.1392;2.50613;0.114;0;22.8626;0;0;0.276;2.44015;0;4.34281;6.27582;4.725;3.01626;1.47769;9.30894;0.77444;8.0997;0.42748;1.04747;0;0;3.05242;0;15.54137
 Madencilik Ürünleri;BALIKESIR;2205.12596;1612.41572;2466.16609;3081.06964;2471.7087;3094.73431;2166.69724;3433.10419;1436.24325;3638.97899;2548.28317;3664.04969;11537.54772;1914.23346;2046.97823;2493.31379;3173.19554;3344.07087;2566.06524;2027.21744;2566.76272;1951.64985;2054.95892;1848.95883;1991.49369;2167.62703;2615.03402;2765.85736;2446.51904;3707.56227;3126.80177;4736.74982;3077.72369;2839.90162;2952.81075;3869.60784;4088.1216;2716.47624;3216.51656;4627.99051;4578.13874;4210.8548;7743.47377;5632.73678;4879.15206;3889.05508;4621.22912;5869.57348;3704.19844;4958.34106;4088.1216;4374.07091;5652.53997;4395.5094;3757.22902;4508.41331;4220.2063;4056.67253;4403.53476;3202.25843;5068.64075;3784.65625;4592.72245;4327.98272
 Makine ve Aksamları;BALIKESIR;2371.94834;2165.2614;2189.93928;3962.44855;2085.6017;2179.07954;2053.95906;2125.74429;1843.18809;2355.25068;1934.90114;2039.69063;1600.33381;2123.26379;2052.3614;2785.8477;2499.77597;3865.64978;2463.06286;1344.92546;2180.87063;2931.46605;2541.21972;2845.03006;2647.14761;3443.11851;2733.38001;2772.66226;2612.54977;4774.22891;2504.97543;2243.70446;3787.84562;1238.01009;2810.82094;2735.45415;3391.43039;2161.03462;1986.10245;2940.36851;3116.58506;3020.36119;5398.89165;4241.86741;6867.28361;4431.08065;3312.91694;2972.91681;2103.53605;4668.22019;3391.43039;3585.3788;2744.79771;3333.08685;3532.44887;3896.61888;2732.05227;3092.19004;3264.59307;2772.58986;3706.14768;3503.71124;3054.50573;4494.35726
 Meyve Sebze Mamulleri ;BALIKESIR;1271.69595;1695.49572;1155.0958;1029.18169;1379.83238;1272.50157;1290.39703;1622.45456;537.44205;1352.71557;1502.81111;1131.54607;1051.23351;919.80052;1665.22819;1398.91973;1882.04702;1105.59869;708.33727;1168.8648;2575.03797;2038.81467;2287.98882;2762.12615;1063.14275;1808.84192;2678.90911;821.30814;539.65055;1084.90316;1029.28702;1272.35367;1478.65228;1448.86255;1889.46646;2971.96395;2071.75008;1767.21574;572.54969;1078.97695;1011.14497;1233.60158;1847.16752;1480.06958;1782.69361;810.4933;1396.74057;1053.32746;1312.81043;2663.92901;2071.75008;3613.19794;1493.83516;1970.01283;2471.18227;2194.08303;2125.28444;1205.26914;1942.00521;1327.7061;1379.27435;1901.96221;2188.96658;2429.30744
 Mücevher;BALIKESIR;0;197.67353;0;0;0;0.07034;0.47025;194.11484;0;0;0;0;0;123.66481;0.64099;0;11.4659;0;0;0;4.18129;0;0;0;0;0;0.63797;0;0;0;0;0;0;0;0;0;0;0;0;20.78624;0;0;0;0;0;0;0;0;0;0;0;0;8.693;0;0;0;0;422.73471;0;0;0;0;65.97231;1.29286
 Otomotiv Endüstrisi;BALIKESIR;2664.16433;4315.98437;4557.76128;5108.41184;4092.08255;5183.25903;4723.15269;5084.7162;4629.52187;3373.88843;3653.9013;4181.48333;3683.95252;3847.55435;4760.13564;5253.81764;6050.1799;5977.47843;4341.83745;3133.09806;3667.6584;2313.02062;4487.80219;4068.99859;4489.65801;4809.85231;3792.62759;3149.46736;2832.45076;5909.92822;3520.42625;3948.611;6197.85168;4190.34891;6123.94883;5010.90242;5807.74069;6151.17595;5206.38923;5564.68524;9003.51846;7327.09331;8931.72754;7478.34345;10049.30743;5868.45216;5378.13468;6520.79227;5863.9381;7080.79753;5793.57794;4271.36741;6488.35467;4898.02673;4431.86132;6225.13937;5562.17067;5582.70217;8259.02642;5812.61007;7789.67049;7753.31663;5310.22184;5665.0329
 Su Ürünleri ve Hayvansal Mamuller;BALIKESIR;21939.92202;19027.34938;12218.78094;14533.68418;16448.90829;16410.22673;14798.06399;17226.23546;13617.46902;13223.58841;13491.98921;14784.74184;18202.49192;22417.17749;13455.7632;15078.5439;15339.41016;18550.35742;12828.52269;9401.91508;13578.36956;15257.51043;13091.39663;13662.63743;11452.85166;10826.74581;13593.69976;16523.77802;9442.51696;11206.28027;10690.39766;10857.83915;13036.99721;10365.81432;12029.9296;13055.87465;15818.5512;15658.25531;15558.33013;15980.3859;11937.90274;16925.27756;21283.44597;19599.12968;21439.96516;17456.77319;12859.1634;16632.04624;17261.67956;14516.78959;15811.64179;15979.64957;11132.01955;15210.09451;28400.52939;13201.58255;19637.15101;23384.7434;13515.30765;15702.5638;18774.76028;12302.17519;9748.77476;12605.24821
 Tekstil ve Hammaddeleri;BALIKESIR;119.74033;133.94071;170.82015;199.77646;119.27297;102.02283;34.99335;46.75515;493.53624;120.95156;148.42836;107.40573;345.96657;236.57387;120.50974;195.29749;236.1392;38.15343;271.29491;452.90298;219.00754;150.97548;126.12925;273.28624;208.68813;138.73375;164.84448;68.9394;102.03913;411.31247;183.17013;299.35064;355.17283;223.20284;298.79484;194.73214;327.05802;408.61063;357.25052;392.19063;554.81405;631.99573;413.6824;553.69013;967.50427;285.02642;390.49248;448.60802;340.71597;586.29899;327.05802;546.32924;402.93214;954.80426;404.35284;817.86277;392.31126;585.38847;551.16208;627.73204;800.0936;607.35213;564.29898;785.47434
 Yaş Meyve ve Sebze  ;BALIKESIR;0;0;0;0;0;0;0;13.69759;0;48.8986;119.32818;16.69148;12.27364;0;0;0;0;0;0;0;11.07385;21.86111;0;0;0;0;0;36.516;22.1;0;6.391;0;0;0;84.98329;62.4425;100.26153;24;0;0;19.1026;0;0;427.54517;181.02457;0;1289.29066;361.08569;389.96415;1376.50612;363.57784;379.4592;50.95806;31.10986;35.87769;0.18772;0;21.63334;0;0;1.20046;0;0;2.73113
 Zeytin ve Zeytinyağı ;BALIKESIR;2956.66516;197.19246;4640.09723;1772.72631;689.8283;337.10353;198.15005;9.4752;57.44229;216.71706;44.89397;359.24601;212.8485;205.22144;105.03078;79.52717;148.7481;112.76665;114.56684;5.39136;0;369.25866;226.60857;141.78903;174.80264;87.09756;100.78694;146.87491;103.22068;11.80421;58.35891;98.98167;44.14084;40.91238;210.78627;209.39195;145.58688;94.52499;78.37117;42.69393;192.93387;96.99713;32.97781;115.20246;55.50753;133.21131;10.74155;97.22186;45.81021;110.84131;145.58688;63.63609;44.99501;4160.68924;292.84745;11928.33038;68.11869;18814.18986;62.568;5107.34842;279.73495;6163.74884;7059.16208;19682.13729
TOPLAM;BALIKESIR;50818.64287;59572.02786;45361.7447;55723.85134;50398.57283;45891.40986;44901.10311;58128.89927;37193.91316;41175.49034;47728.82545;49885.41324;65830.36368;48755.77917;42253.68813;63013.77638;51379.8453;54232.08766;47678.32287;33415.37409;45622.22466;53008.55837;58744.40581;50098.3661;42813.1045;53652.36362;46749.8692;50426.49576;47773.35889;56268.18789;51566.6447;47238.01107;57229.22553;41609.46236;53987.33953;57025.99736;69360.16023;72714.96976;53395.49423;56771.83934;66271.78814;66220.0517;93197.79992;72279.97202;100438.5819;68531.58559;67238.82479;85413.15225;64167.99375;84641.69758;69562.7678;66892.59435;58999.82154;75334.52318;83853.59053;86296.791;62014.89562;100500.5719;68855.70092;90030.73623;86116.53464;112257.4156;71485.46375;94307.23183
 Çelik;BARTIN;0.19;0.83219;0;0;0;0.039;17.17077;0.2902;182.855;0;25.7098;0;0;0;0.10466;0;0;24.47374;2.23727;0;0;1.04004;0.10051;0.6422;5.649;0.57991;10.39699;0;0.00554;0;2.59085;15.80177;2.2601;2.722;0;2.38272;24.08928;0.00633;0;0;0;0;10.84065;0;2.15555;1.07205;0;11.45456;0;1.32717;24.08928;0.11939;2.68;3.105;0.024;0;0.39446;1.50634;0;0;0;1.689;2.35274;0
 Çimento Cam Seramik ve Toprak Ürünleri;BARTIN;95.12774;85.91315;36.56368;44.8165;94.60707;90.34663;129.23427;85.59437;203.82317;96.88208;112.33813;114.24808;56.57212;129.59844;213.00415;145.40249;239.34062;241.90608;261.32553;125.57989;125.38125;136.91829;245.91588;200.75182;109.56171;158.8113;160.28552;148.30161;160.31502;279.39862;248.61108;203.13534;423.71196;149.2827;225.78904;310.16705;420.0531;313.28097;157.00699;243.32172;318.37154;224.1653;695.99283;493.88832;605.31055;241.01368;570.05333;881.35067;290.17075;443.537;420.0531;322.48886;335.61343;405.58005;617.95618;391.0185;378.28628;440.91986;546.14958;259.71879;631.48219;383.18406;290.13612;199.50208
 Demir ve Demir Dışı Metaller ;BARTIN;498.14589;470.78352;278.75268;465.97402;376.7718;398.76407;353.51431;568.92546;464.08951;423.43586;680.0188;456.58511;551.6306;365.35323;658.07445;573.61809;470.96832;638.92996;488.58134;345.78655;420.63377;373.57603;357.14134;238.74059;487.21466;312.6618;362.25338;1149.89177;292.1164;482.02956;332.87761;662.40517;525.11286;406.68664;431.51431;353.82803;550.64566;491.71256;564.62353;405.2047;598.82;632.99169;606.61355;633.61298;528.19984;562.65221;479.23355;585.30301;423.53527;539.01259;550.64566;232.30777;619.75434;563.65156;515.14155;458.87064;481.9124;565.53001;434.84379;608.16992;555.30704;526.74136;370.55626;569.27771
 Deri ve Deri Mamulleri ;BARTIN;897.23692;327.36028;919.14356;1646.41879;1226.05888;898.02997;739.48383;498.18056;558.61987;426.95278;1405.02517;1150.17738;677.43478;399.61211;760.03837;156.16276;810.76072;929.47596;1039.56225;511.78832;752.52094;543.68487;3.81735;58.8652;179.72677;491.52923;698.19044;83.22608;0;32.63302;76.37929;646.36718;125.1508;450.27816;68.27037;388.67204;791.75633;326.307;67.93225;63.25483;69.62877;33.3452;385.3849;24.12839;337.18306;423.66151;287.10994;360.01104;388.34384;705.4201;791.75633;670.54229;255.56106;266.34432;91.03167;192.20494;101.12953;319.70109;291.1399;101.03925;442.12976;175.93546;243.7749;248.55833
 Halı ;BARTIN;5.16335;0;0;0;0.23191;0.79833;0;0;1.63529;0;0;1.47711;0;1.12862;0;1.81037;0.14314;0;0;0;0.21711;0.35444;0.44041;0;0.85662;0;0.17314;0;0;0;0;0;0;0;0.7657;0;0.08834;0;0;0;0;0;0;0.348;0.232;0;0;0;0;0;0.08834;0.70995;1.28875;0.63735;0;0;0;0;0;0;25.13245;0.17206;0;0
 Hazırgiyim ve Konfeksiyon ;BARTIN;11.00664;0;0;4.26123;0.12205;8.89573;0.04221;9.97408;3.16267;0;4.89378;4.27585;0;1.94028;0;3.82529;0.37598;0;0.02165;0;0.11309;2.09491;2.48044;1.15386;3.05219;0.00211;1.42581;0;6.06586;30.90717;0.21;0;0;0;0.70414;0;23.51065;3.26183;0.35899;55.06841;0;0.18006;2.55496;0.84992;0;0.13928;0.68039;0;0;0;23.51065;0;12.70046;0;1.97797;0.227;0.1064;0;0.002;0;2.45582;6.86382;0.00094;0
 Hububat. Bakliyat. Yağlı Tohumlar ve Mamulleri ;BARTIN;2.27756;0;0;1.8292;2.91701;8.79266;2.10325;9.96731;0;3.02897;1.95099;1.92218;1.30091;2.20133;0;23.9265;21.4077;1.09163;42.06165;7.28458;8.42188;0.93388;2.13653;0;23.29217;0;21.05726;2.3773;1.92685;12.45039;37.94742;0.97712;53.73831;34.95049;10.29748;16.00188;18.22751;25.69848;32.46715;0;31.27091;139.72456;21.12679;9.82692;18.40986;22.3477;21.14193;57.90059;19.30487;16.3973;18.22751;0;7.92662;170.80309;40.09566;22.24411;0;46.38675;11.72631;0;6.78019;19.6509;20.7252;49.5235
 İklimlendirme Sanayii;BARTIN;16.39634;13.25969;19.69281;0;6.5179;1.9794;18.96717;10.20966;10.2069;3.79348;13.22579;15.00976;17.94592;0;12.4333;3.51714;12.58629;15.34888;1.66274;2.72335;11.4105;3.16429;17.48205;21.98853;1.85273;0.31837;3.70069;1.97859;34.13344;10.75902;3.19646;0;23.82933;18.75352;0;2.7733;3.63512;0;2.7;3.3913;2.82531;0.9831;17.75722;23.99924;24.40149;9.31373;4.45999;3.06176;23.76001;14.12744;3.63512;26.18866;49.19941;29.31472;0;4.51341;5.28015;0;22.97675;0;10.80839;4.30293;0;0
 Kimyevi Maddeler ve Mamulleri  ;BARTIN;76.37819;69.00819;35.53877;18.42598;71.50974;23.85911;72.93049;85.12449;79.81603;144.54563;113.35628;92.17415;45.22288;101.0046;98.69582;50.63424;89.96258;72.90026;60.40444;107.28926;110.19754;54.13057;66.39859;105.52659;67.93164;43.10153;18.97891;48.44442;23.39887;57.93221;35.63686;103.63415;35.78473;29.79944;86.37877;85.28829;85.16635;60.26892;78.56604;30.18213;50.50164;40.92098;120.03597;227.80686;49.3638;47.07885;186.87049;55.92154;44.00564;76.70844;85.16635;42.76451;161.55146;59.74389;222.99631;121.71291;68.49502;119.11617;113.91878;93.75646;67.00016;96.57663;129.72652;123.99313
 Madencilik Ürünleri;BARTIN;0;0;0;0;0;0;0;0;0;1.55808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2255;0;0;0.27281;0;0;0;0;0;0.18683;0.049;0.045;0;0;0;0;0;0.23931;0;0;0;0.1318;0;0;0;0.045;0;0.60003;0;0;0;0;0;0.3134;0;0;0;0;0
 Makine ve Aksamları;BARTIN;0;2.88225;6.77244;40.793;0.36617;0;0.20382;0;0;0.08706;32.61917;0;4.44209;0;0;28.46013;0.26243;0.04876;3.21089;43.57726;0;0;0.03119;0;1.6038;1.00683;0;0;0.07746;0;0;0.0225;0;0;0.5536;0.07;0.05;4.84287;0;0.60051;4.29212;0;4.51993;21.255;0.55882;6.4;0;3.345;1.10921;25.56082;0.05;56.05;47.768;124.17532;0.223;15.64076;0;12.40082;59.64402;44.0296;0.6696;19.656;25.29377;13.30575
 Meyve Sebze Mamulleri ;BARTIN;1.29645;0;0;0;0;0;0;0;0;0.06243;0.0069;0;0;0;0;7.2262;0;0.27304;1.14134;0.1781;0.38536;0;0;1.00802;2.48174;0;0;0.07614;0;0.77616;1.36356;3.0084;2.22938;0;2.73911;0;4.86178;5.92598;3.07702;0;4.3461;1.16034;12.45168;2.1986;1.46876;5.8954;4.41864;3.32289;5.13834;2.04181;4.86178;0;3.9022;13.9495;6.25591;0;0;4.579;2.41178;0;0;0;0;9.122
 Otomotiv Endüstrisi;BARTIN;21.8162;19.32888;9.3245;8.91695;22.32175;55.89259;17.46623;28.18602;10.85935;26.15631;21.06067;32.98235;38.51148;3.95566;26.41725;17.20984;16.91178;13.33439;18.39586;9.94738;25.18295;17.15106;4.83281;7.04025;30.21421;6.4884;10.36786;6.78383;3.20493;21.59125;8.77027;18.01057;21.52594;5.94056;14.84875;16.46071;4.78315;8.05215;24.80075;3.66704;17.072;21.4568;19.28762;30.68025;25.15527;17.53904;19.28746;12.09884;7.65764;16.26578;4.78315;5.62894;18.72469;0.42;4.22562;23.05972;29.38565;5.65908;31.25093;55.92164;25.78087;59.38586;0;11.91235
 Su Ürünleri ve Hayvansal Mamuller;BARTIN;0;0;0;0;0;0;0;0;0;0;0.34705;0;0;0;0;2.5416;0;0;0.03495;0;0;0;0;0;0;0;0;0.09223;0;0;0;0;0;0;0.04412;0;0.16039;0;0;0;0.21801;0;0;0;0;0;1.82289;0;0;0;0.16039;0;0.54414;0.096;0;0;0;0;0;0;0;0;0;0
 Tekstil ve Hammaddeleri;BARTIN;0.58499;3.68443;0.08662;0.14716;0.2039;0.16637;0.10097;3.61036;1.52295;2.59737;2.81164;0.94741;2.75753;0.05068;1.27442;4.09368;3.66138;1.95928;3.75215;1.60173;0.6879;0.80012;5.54958;0.13955;1.87894;0.79754;0.98099;0.33694;0;0.02047;3.19645;1.75698;0;0.96718;0.23539;2.02632;0.10187;0;0;1.31732;2.66983;0;0.0447;0;0;0;0;0;0;0.2;0.10187;0;0.1075;0;0.01541;0;0;0;0;0;4.31872;0;0;0
 Zeytin ve Zeytinyağı ;BARTIN;0;1.96031;0;0;0;0;0;0;0;0;0;0;0;0;0;5.1348;4.29896;1.07588;0.47323;0.0959;0.38712;0;0;0;0.00879;0;0;0.86278;0;2.25803;0;0;0;0;0.10584;0;4.35685;1.1055;0;0;2.52546;0;6.05893;5.98735;0.74652;0;2.40992;1.52764;0;0;4.35685;0;3.7473;2.953;0.4925;0;0;23.166;1.43423;0;0;0;0;4.6884
TOPLAM;BARTIN;2395.34173;1954.34892;2041.51504;2932.58351;2591.25486;1944.86586;1750.55622;1741.56703;1846.75957;1396.86841;2913.69351;2899.42968;2334.58993;1228.81167;3117.5734;2171.66631;3261.64891;2749.32718;2457.28656;1370.72967;1981.64873;1907.9734;2067.50814;2176.2181;2805.56979;2513.10823;2754.50621;2386.67683;1522.62766;1240.86954;1573.20944;2121.46342;1553.96851;1286.4761;1386.68571;2645.91824;2291.14803;2525.1299;2851.08347;2546.604;2022.99124;2392.87369;3475.72492;1546.3446;2157.43224;2594.67362;2328.79762;4229.00581;1361.9668;2080.24792;2291.14803;2118.65015;2668.99209;2906.91872;2485.23127;2675.9405;1926.28734;2994.04637;2421.12822;2117.15979;2748.56816;3173.24907;1957.0341;1549.314
